Inventario,Expediente,Nº Serie,Estado,Artículo,Marca,Descripción Espacio,Modelo,Destino Dotación,Subsede,Pabellón,Planta,Espacio,Familia,Subfamilia,Subtipo,Proveedor,Id Patrimonial,Prestamos/Reservas,F. Fin Garantía,Fecha Baja,Verificado CAU,Propietario,Usuario,Observaciones
INV-050,EXP-2023-050,SN-000050,Activo,Impresora,HP,Dirección,LaserJet Pro,Administración,Sede Central,Pabellón Principal,Planta 1,Despacho 5,Informática,Impresión,Láser,InfoTech SL,PAT-5050,No,2026-01-15,,Sí,Instituto 50,Director,Dato de prueba 50
INV-051,EXP-2023-051,SN-000051,Activo,Ordenador,HP,Aula Informática 1,ProBook 450,Alumnos,Sede Central,Pabellón Principal,Planta Baja,Aula 101,Informática,Equipos,Portátiles,InfoTech SL,PAT-5051,No,2026-05-15,,Sí,Instituto 51,Profesorado,Dato de prueba 51
INV-052,EXP-2023-052,SN-000052,Inoperativo,Monitor,Dell,Aula Dibujo,UltraSharp 24,Alumnos,Sede Central,Pabellón Norte,Planta 1,Aula 205,Informática,Periféricos,Monitores,Pantallas SA,PAT-5052,No,2023-11-20,2025-10-01,Sí,Instituto 52,,Dato de prueba 52
INV-053,EXP-2023-053,SN-000053,Activo,Proyector,Epson,Salón de Actos,EB-L200F,General,Sede Central,Pabellón Principal,Planta Baja,Salón Actos,Audiovisuales,Proyección,Láser,AudioVisuales Pro,PAT-5053,Sí,2027-01-10,,Sí,Instituto 53,Mantenimiento,Dato de prueba 53
INV-054,EXP-2023-054,SN-000054,Activo,Impresora,Brother,Sala de Profesores,MFC-L8690CDW,Profesores,Sede Sur,Edificio Anexo,Planta 2,Sala Profesores,Informática,Impresión,Láser Color,OfiImprime,PAT-5054,No,2025-09-01,,Sí,Instituto 54,Claustro,Dato de prueba 54
INV-055,EXP-2023-055,SN-000055,STOCK,Tablet,Samsung,Biblioteca,Galaxy Tab A,Préstamo,Sede Sur,Edificio Anexo,Planta Baja,Biblioteca,Informática,Equipos,Tablets,InfoTech SL,PAT-5055,Sí,2022-02-15,,Sí,Instituto 55,,Dato de prueba 55
INV-056,EXP-2023-056,SN-000056,Prestamo,Portátil,Lenovo,Secretaría,ThinkPad E14,Administración,Sede Norte,Edificio Principal,Planta 1,Oficina 1,Informática,Equipos,Portátiles,Compuserv,PAT-5056,No,2026-08-20,,Sí,Instituto 56,Admin,Dato de prueba 56
INV-057,EXP-2023-057,SN-000057,Activo,Ordenador,HP,Aula 102,EliteDesk 800,Alumnos,Sede Central,Pabellón Principal,Planta Baja,Aula 102,Informática,Equipos,Sobremesa,InfoTech SL,PAT-5057,No,2026-05-15,,Sí,Instituto 57,Profesorado,Dato de prueba 57
INV-058,EXP-2023-058,SN-000058,Inoperativo,Monitor,HP,Aula 102,P24 G4,Alumnos,Sede Central,Pabellón Principal,Planta Baja,Aula 102,Informática,Periféricos,Monitores,InfoTech SL,PAT-5058,No,2026-05-15,,Sí,Instituto 58,,Dato de prueba 58
INV-059,EXP-2023-059,SN-000059,Activo,Ordenador,Dell,Laboratorio,OptiPlex 5090,Investigación,Sede Central,Edificio Ciencias,Planta 2,Lab 1,Informática,Equipos,Sobremesa,Dell Direct,PAT-5059,No,2025-12-30,,Sí,Instituto 59,Técnicos,Dato de prueba 59
INV-060,EXP-2023-060,SN-000060,Activo,Impresora,HP,Dirección,LaserJet Pro,Administración,Sede Central,Pabellón Principal,Planta 1,Despacho 5,Informática,Impresión,Láser,InfoTech SL,PAT-5060,No,2026-01-15,,Sí,Instituto 60,Director,Dato de prueba 60
INV-061,EXP-2023-061,SN-000061,Activo,Ordenador,HP,Aula Informática 1,ProBook 450,Alumnos,Sede Central,Pabellón Principal,Planta Baja,Aula 101,Informática,Equipos,Portátiles,InfoTech SL,PAT-5061,No,2026-05-15,,Sí,Instituto 61,Profesorado,Dato de prueba 61
INV-062,EXP-2023-062,SN-000062,Inoperativo,Monitor,Dell,Aula Dibujo,UltraSharp 24,Alumnos,Sede Central,Pabellón Norte,Planta 1,Aula 205,Informática,Periféricos,Monitores,Pantallas SA,PAT-5062,No,2023-11-20,2025-10-01,Sí,Instituto 62,,Dato de prueba 62
INV-063,EXP-2023-063,SN-000063,Activo,Proyector,Epson,Salón de Actos,EB-L200F,General,Sede Central,Pabellón Principal,Planta Baja,Salón Actos,Audiovisuales,Proyección,Láser,AudioVisuales Pro,PAT-5063,Sí,2027-01-10,,Sí,Instituto 63,Mantenimiento,Dato de prueba 63
INV-064,EXP-2023-064,SN-000064,Activo,Impresora,Brother,Sala de Profesores,MFC-L8690CDW,Profesores,Sede Sur,Edificio Anexo,Planta 2,Sala Profesores,Informática,Impresión,Láser Color,OfiImprime,PAT-5064,No,2025-09-01,,Sí,Instituto 64,Claustro,Dato de prueba 64
INV-065,EXP-2023-065,SN-000065,STOCK,Tablet,Samsung,Biblioteca,Galaxy Tab A,Préstamo,Sede Sur,Edificio Anexo,Planta Baja,Biblioteca,Informática,Equipos,Tablets,InfoTech SL,PAT-5065,Sí,2022-02-15,,Sí,Instituto 65,,Dato de prueba 65
INV-066,EXP-2023-066,SN-000066,Prestamo,Portátil,Lenovo,Secretaría,ThinkPad E14,Administración,Sede Norte,Edificio Principal,Planta 1,Oficina 1,Informática,Equipos,Portátiles,Compuserv,PAT-5066,No,2026-08-20,,Sí,Instituto 66,Admin,Dato de prueba 66
INV-067,EXP-2023-067,SN-000067,Activo,Ordenador,HP,Aula 102,EliteDesk 800,Alumnos,Sede Central,Pabellón Principal,Planta Baja,Aula 102,Informática,Equipos,Sobremesa,InfoTech SL,PAT-5067,No,2026-05-15,,Sí,Instituto 67,Profesorado,Dato de prueba 67
INV-068,EXP-2023-068,SN-000068,Inoperativo,Monitor,HP,Aula 102,P24 G4,Alumnos,Sede Central,Pabellón Principal,Planta Baja,Aula 102,Informática,Periféricos,Monitores,InfoTech SL,PAT-5068,No,2026-05-15,,Sí,Instituto 68,,Dato de prueba 68
INV-069,EXP-2023-069,SN-000069,Activo,Ordenador,Dell,Laboratorio,OptiPlex 5090,Investigación,Sede Central,Edificio Ciencias,Planta 2,Lab 1,Informática,Equipos,Sobremesa,Dell Direct,PAT-5069,No,2025-12-30,,Sí,Instituto 69,Técnicos,Dato de prueba 69
INV-070,EXP-2023-070,SN-000070,Activo,Impresora,HP,Dirección,LaserJet Pro,Administración,Sede Central,Pabellón Principal,Planta 1,Despacho 5,Informática,Impresión,Láser,InfoTech SL,PAT-5070,No,2026-01-15,,Sí,Instituto 70,Director,Dato de prueba 70
INV-071,EXP-2023-071,SN-000071,Activo,Ordenador,HP,Aula Informática 1,ProBook 450,Alumnos,Sede Central,Pabellón Principal,Planta Baja,Aula 101,Informática,Equipos,Portátiles,InfoTech SL,PAT-5071,No,2026-05-15,,Sí,Instituto 71,Profesorado,Dato de prueba 71
INV-072,EXP-2023-072,SN-000072,Inoperativo,Monitor,Dell,Aula Dibujo,UltraSharp 24,Alumnos,Sede Central,Pabellón Norte,Planta 1,Aula 205,Informática,Periféricos,Monitores,Pantallas SA,PAT-5072,No,2023-11-20,2025-10-01,Sí,Instituto 72,,Dato de prueba 72
INV-073,EXP-2023-073,SN-000073,Activo,Proyector,Epson,Salón de Actos,EB-L200F,General,Sede Central,Pabellón Principal,Planta Baja,Salón Actos,Audiovisuales,Proyección,Láser,AudioVisuales Pro,PAT-5073,Sí,2027-01-10,,Sí,Instituto 73,Mantenimiento,Dato de prueba 73
INV-074,EXP-2023-074,SN-000074,Activo,Impresora,Brother,Sala de Profesores,MFC-L8690CDW,Profesores,Sede Sur,Edificio Anexo,Planta 2,Sala Profesores,Informática,Impresión,Láser Color,OfiImprime,PAT-5074,No,2025-09-01,,Sí,Instituto 74,Claustro,Dato de prueba 74
INV-075,EXP-2023-075,SN-000075,STOCK,Tablet,Samsung,Biblioteca,Galaxy Tab A,Préstamo,Sede Sur,Edificio Anexo,Planta Baja,Biblioteca,Informática,Equipos,Tablets,InfoTech SL,PAT-5075,Sí,2022-02-15,,Sí,Instituto 75,,Dato de prueba 75
INV-076,EXP-2023-076,SN-000076,Prestamo,Portátil,Lenovo,Secretaría,ThinkPad E14,Administración,Sede Norte,Edificio Principal,Planta 1,Oficina 1,Informática,Equipos,Portátiles,Compuserv,PAT-5076,No,2026-08-20,,Sí,Instituto 76,Admin,Dato de prueba 76
INV-077,EXP-2023-077,SN-000077,Activo,Ordenador,HP,Aula 102,EliteDesk 800,Alumnos,Sede Central,Pabellón Principal,Planta Baja,Aula 102,Informática,Equipos,Sobremesa,InfoTech SL,PAT-5077,No,2026-05-15,,Sí,Instituto 77,Profesorado,Dato de prueba 77
INV-078,EXP-2023-078,SN-000078,Inoperativo,Monitor,HP,Aula 102,P24 G4,Alumnos,Sede Central,Pabellón Principal,Planta Baja,Aula 102,Informática,Periféricos,Monitores,InfoTech SL,PAT-5078,No,2026-05-15,,Sí,Instituto 78,,Dato de prueba 78
INV-079,EXP-2023-079,SN-000079,Activo,Ordenador,Dell,Laboratorio,OptiPlex 5090,Investigación,Sede Central,Edificio Ciencias,Planta 2,Lab 1,Informática,Equipos,Sobremesa,Dell Direct,PAT-5079,No,2025-12-30,,Sí,Instituto 79,Técnicos,Dato de prueba 79
INV-080,EXP-2023-080,SN-000080,Activo,Impresora,HP,Dirección,LaserJet Pro,Administración,Sede Central,Pabellón Principal,Planta 1,Despacho 5,Informática,Impresión,Láser,InfoTech SL,PAT-5080,No,2026-01-15,,Sí,Instituto 80,Director,Dato de prueba 80
INV-081,EXP-2023-081,SN-000081,Activo,Ordenador,HP,Aula Informática 1,ProBook 450,Alumnos,Sede Central,Pabellón Principal,Planta Baja,Aula 101,Informática,Equipos,Portátiles,InfoTech SL,PAT-5081,No,2026-05-15,,Sí,Instituto 81,Profesorado,Dato de prueba 81
INV-082,EXP-2023-082,SN-000082,Inoperativo,Monitor,Dell,Aula Dibujo,UltraSharp 24,Alumnos,Sede Central,Pabellón Norte,Planta 1,Aula 205,Informática,Periféricos,Monitores,Pantallas SA,PAT-5082,No,2023-11-20,2025-10-01,Sí,Instituto 82,,Dato de prueba 82
INV-083,EXP-2023-083,SN-000083,Activo,Proyector,Epson,Salón de Actos,EB-L200F,General,Sede Central,Pabellón Principal,Planta Baja,Salón Actos,Audiovisuales,Proyección,Láser,AudioVisuales Pro,PAT-5083,Sí,2027-01-10,,Sí,Instituto 83,Mantenimiento,Dato de prueba 83
INV-084,EXP-2023-084,SN-000084,Activo,Impresora,Brother,Sala de Profesores,MFC-L8690CDW,Profesores,Sede Sur,Edificio Anexo,Planta 2,Sala Profesores,Informática,Impresión,Láser Color,OfiImprime,PAT-5084,No,2025-09-01,,Sí,Instituto 84,Claustro,Dato de prueba 84
INV-085,EXP-2023-085,SN-000085,STOCK,Tablet,Samsung,Biblioteca,Galaxy Tab A,Préstamo,Sede Sur,Edificio Anexo,Planta Baja,Biblioteca,Informática,Equipos,Tablets,InfoTech SL,PAT-5085,Sí,2022-02-15,,Sí,Instituto 85,,Dato de prueba 85
INV-086,EXP-2023-086,SN-000086,Prestamo,Portátil,Lenovo,Secretaría,ThinkPad E14,Administración,Sede Norte,Edificio Principal,Planta 1,Oficina 1,Informática,Equipos,Portátiles,Compuserv,PAT-5086,No,2026-08-20,,Sí,Instituto 86,Admin,Dato de prueba 86
INV-087,EXP-2023-087,SN-000087,Activo,Ordenador,HP,Aula 102,EliteDesk 800,Alumnos,Sede Central,Pabellón Principal,Planta Baja,Aula 102,Informática,Equipos,Sobremesa,InfoTech SL,PAT-5087,No,2026-05-15,,Sí,Instituto 87,Profesorado,Dato de prueba 87
INV-088,EXP-2023-088,SN-000088,Inoperativo,Monitor,HP,Aula 102,P24 G4,Alumnos,Sede Central,Pabellón Principal,Planta Baja,Aula 102,Informática,Periféricos,Monitores,InfoTech SL,PAT-5088,No,2026-05-15,,Sí,Instituto 88,,Dato de prueba 88
INV-089,EXP-2023-089,SN-000089,Activo,Ordenador,Dell,Laboratorio,OptiPlex 5090,Investigación,Sede Central,Edificio Ciencias,Planta 2,Lab 1,Informática,Equipos,Sobremesa,Dell Direct,PAT-5089,No,2025-12-30,,Sí,Instituto 89,Técnicos,Dato de prueba 89
INV-090,EXP-2023-090,SN-000090,Activo,Impresora,HP,Dirección,LaserJet Pro,Administración,Sede Central,Pabellón Principal,Planta 1,Despacho 5,Informática,Impresión,Láser,InfoTech SL,PAT-5090,No,2026-01-15,,Sí,Instituto 90,Director,Dato de prueba 90
INV-091,EXP-2023-091,SN-000091,Activo,Ordenador,HP,Aula Informática 1,ProBook 450,Alumnos,Sede Central,Pabellón Principal,Planta Baja,Aula 101,Informática,Equipos,Portátiles,InfoTech SL,PAT-5091,No,2026-05-15,,Sí,Instituto 91,Profesorado,Dato de prueba 91
INV-092,EXP-2023-092,SN-000092,Inoperativo,Monitor,Dell,Aula Dibujo,UltraSharp 24,Alumnos,Sede Central,Pabellón Norte,Planta 1,Aula 205,Informática,Periféricos,Monitores,Pantallas SA,PAT-5092,No,2023-11-20,2025-10-01,Sí,Instituto 92,,Dato de prueba 92
INV-093,EXP-2023-093,SN-000093,Activo,Proyector,Epson,Salón de Actos,EB-L200F,General,Sede Central,Pabellón Principal,Planta Baja,Salón Actos,Audiovisuales,Proyección,Láser,AudioVisuales Pro,PAT-5093,Sí,2027-01-10,,Sí,Instituto 93,Mantenimiento,Dato de prueba 93
INV-094,EXP-2023-094,SN-000094,Activo,Impresora,Brother,Sala de Profesores,MFC-L8690CDW,Profesores,Sede Sur,Edificio Anexo,Planta 2,Sala Profesores,Informática,Impresión,Láser Color,OfiImprime,PAT-5094,No,2025-09-01,,Sí,Instituto 94,Claustro,Dato de prueba 94
INV-095,EXP-2023-095,SN-000095,STOCK,Tablet,Samsung,Biblioteca,Galaxy Tab A,Préstamo,Sede Sur,Edificio Anexo,Planta Baja,Biblioteca,Informática,Equipos,Tablets,InfoTech SL,PAT-5095,Sí,2022-02-15,,Sí,Instituto 95,,Dato de prueba 95
INV-096,EXP-2023-096,SN-000096,Prestamo,Portátil,Lenovo,Secretaría,ThinkPad E14,Administración,Sede Norte,Edificio Principal,Planta 1,Oficina 1,Informática,Equipos,Portátiles,Compuserv,PAT-5096,No,2026-08-20,,Sí,Instituto 96,Admin,Dato de prueba 96
INV-097,EXP-2023-097,SN-000097,Activo,Ordenador,HP,Aula 102,EliteDesk 800,Alumnos,Sede Central,Pabellón Principal,Planta Baja,Aula 102,Informática,Equipos,Sobremesa,InfoTech SL,PAT-5097,No,2026-05-15,,Sí,Instituto 97,Profesorado,Dato de prueba 97
INV-098,EXP-2023-098,SN-000098,Inoperativo,Monitor,HP,Aula 102,P24 G4,Alumnos,Sede Central,Pabellón Principal,Planta Baja,Aula 102,Informática,Periféricos,Monitores,InfoTech SL,PAT-5098,No,2026-05-15,,Sí,Instituto 98,,Dato de prueba 98
INV-099,EXP-2023-099,SN-000099,Activo,Ordenador,Dell,Laboratorio,OptiPlex 5090,Investigación,Sede Central,Edificio Ciencias,Planta 2,Lab 1,Informática,Equipos,Sobremesa,Dell Direct,PAT-5099,No,2025-12-30,,Sí,Instituto 99,Técnicos,Dato de prueba 99
INV-100,EXP-2023-100,SN-000100,Activo,Impresora,HP,Dirección,LaserJet Pro,Administración,Sede Central,Pabellón Principal,Planta 1,Despacho 5,Informática,Impresión,Láser,InfoTech SL,PAT-5100,No,2026-01-15,,Sí,Instituto 100,Director,Dato de prueba 100
[... repetido cíclicamente con propietarios Instituto 101 hasta Instituto 1000 ...]
